,artist_id,name,num_albums,num_buyers,num_buys,tags,num_recorded_sales,num_recorded_sales_by_related
20,20,A Light in the Dark,3,253,740,"'metal', 'atmospheric', 'blackgaze', 'electronic', 'instrumental', 'melancholic', 'post-metal', 'shoegaze', 'trance', 'trance metal', 'uplifting''metal', 'atmospheric', 'atmospheric metal', 'blackgaze', 'melancholic metal', 'post black metal', 'post-metal', 'shoegaze''metal', 'blackgaze', 'post-metal', 'shoegaze', 'trance metal'",26.0,1122
21,21,A Scanner Darkly,1,24,48,"'atmospheric metal', 'doom', 'drone', 'grind', 'metal', 'sci-fi', 'science fiction', 'sludge'",0.0,210
22,22,A Stick And A Stone,1,17,17,"'black metal', 'metal', 'crust', 'doom metal', 'drone', 'folk', 'neofolk', 'nosie', 'post-rock', 'sludge metal'",5.0,243
23,23,A Thousand Hours,3,140,199,"'alternative', 'dream pop', 'dreampop', 'dreamy', 'ethereal', 'indie', 'post-punk', 'shoegaze', 'slowcore''alternative', 'ethereal wave', 'etherealwave', 'dark wave', 'darkwave', 'dream pop', 'dreampop', 'goth', 'gothic rock', 'post-punk', 'shoegaze', 'shoegazer', 'shoegazing', 'slowcore''alternative', 'dream pop', 'dreampop', 'shoegaze', 'slowcore'",34.0,1032
24,24,ACTORS,5,93,165,"'alternative', 'coldwave', 'darkwave', 'goth', 'indie', 'new wave', 'post-punk', 'synthpop', 'synthwave''alternative', 'dark wave', 'cold wave', 'coldwave', 'darkwave', 'new wave', 'post-punk''alternative', 'coldwave', 'darkwave', 'new wave', 'new-wave', 'post-punk', 'synth', 'synth wave''alternative', 'coldwave', 'darkwave', 'new wave', 'post-punk''alternative', 'coldwave', 'darkwave', 'new wave', 'post-punk'",27.0,695
25,25,AIR Japan,1,50,100,"'electronic', 'cyberpunk', 'dream', 'dreampunk', 'experimental', 'future beats', 'future trap', 'japan', 'tekken', 'tokyo', 'vaportrap', 'vapour', 'vgm'",0.0,97
26,26,ALEX,2,580,1374,"""80's"", '80s', 'electronic', 'cyberpunk', 'darksynth', 'darkwave', 'dreamwave', 'horror', 'nrwrecords', 'occult', 'power', 'retro', 'synthpop', 'synthwave', 'theme''80s', 'electronic', 'darkwave', 'dreamwave', 'newwave', 'nrwrecords', 'retro', 'retrowave', 'synthesizer', 'synthpop', 'synthwave', 'theme'",16.0,673
27,27,ALEX & Tokyo Rose,1,444,888,"'80s', 'electronic', 'newwave', 'darksynth', 'darkwave', 'dreamwave', 'newwave', 'nrwrecords', 'outrun', 'power', 'retro', 'retroelectro', 'retrowave', 'synthpop', 'synthwave'",47.0,601
28,28,AMyn,1,17,17,"'electronic', 'ambient', 'house'",0.0,108
29,29,ASC,1,2,4,"'autonomic', 'drum & bass', 'electronic', 'bass music', 'electronica', 'indie'",18.0,88
30,30,ASOK,2,155,176,"'chicago house', 'deep house', 'detroit house', 'electronic', 'hardcore', 'house', 'rave', 'sausage roll', 'techno', 'up north', 'warehouse vibes''chicago house', 'deep house', 'detroit house', 'detroit techno', 'electro', 'electronic', 'house', 'rave', 'techno'",2.0,259
31,31,Aario Drgento,1,42,42,"'electronic', 'ambient', 'funk', 'late', 'slowjam', 'vaporwave'",0.0,122
32,32,Abkehr,1,71,71,"'black metal', 'metal', 'atmospheric black metal', 'black metal', 'crust', 'doom metal', 'nosie', 'sludge metal'",10.0,204
33,33,Abominable Putridity,2,29,58,"'abominable putridity', 'death metal', 'in the end of human existence', 'slam', 'unique leader''abominable putridity', 'death metal', 'unique leader', 'technical death'",1.0,246
34,34,Absolute Valentine,2,377,900,"""80's"", '80s', 'electronic', 'darksynth', 'darkwave', 'french', 'neo-disco', 'outrun', 'retrowave', 'slowmo techno', 'synthwave'""80's"", '80s', 'electronic', 'dreamwave', 'french', 'neo-disco', 'outrun', 'remix', 'retrowave', 'slowmo techno', 'synthpop', 'synthwave'",4.0,660
35,35,Abstract Elements,1,3,6,"'autonomic', 'drum & bass', 'electronic', 'bass music', 'electronica', 'indie'",1.0,131
36,36,Abstracter,2,28,31,"'black metal', 'blackened crust', 'metal', 'crust', 'doom metal', 'hardcore', 'nosie', 'post-metal', 'psychedelic', 'sludge metal''black metal', 'blackened crust', 'metal', 'abstracter', 'blackened doom', 'blackened sludge', 'crust', 'doom metal', 'nosie', 'oakland', 'oakland metal', 'sludge metal'",1.0,101
37,37,Acrania,2,44,100,"'acrania', 'death metal', 'deathcore', 'the beginning of the end', 'unique leader''acrania', 'death metal', 'deathcore', 'totalitarian dystopia', 'unique leader'",3.0,53
38,38,Acuarela Project,1,38,76,"'soul', 'bossa nova', 'downtempo', 'experimental electronic'",0.0,413
39,39,Adhesive Sounds X Mhz通信販売,1,87,87,"'electronic', 'chillwave\u202c', 'jazz', 'lofi\u202c', 'mallsoft\u202c\u202c', 'postvaporwave', 'smooth', 'vaporwave', 'vapour', '\u200elatenight\u202c', '\u200evirtual\u202c'",0.0,112
40,40,Aegri Somnia,2,373,864,"'ambient', 'ambient noise', 'atmospheric', 'dark ambient', 'drone', 'field recordings', 'soundscapes''24bit', 'ambient', 'ambient', 'atmospheric', 'creepy', 'dark ambient', 'drone', 'field recordings', 'horror', 'noise', 'post apocalyptic', 'soundscapes', 'soundtrack'",2.0,272
41,41,Aeon,1,6,12,"'aeon', 'bleeding the false', 'death metal', 'unique leader'",1.0,18
42,42,Afterbirth,1,18,36,"""the time traveler's dilemma"", 'unique leader', 'afterbirth', 'brutal death metal', 'deathmetal'",9.0,192
43,43,Agent!,1,1,1,,1.0,82
44,44,Ager Sonus,1,147,294,"'ambient', 'egypt', 'atmospheric', 'dark ambient', 'drone', 'egyptian', 'field recordings', 'soundscapes'",0.0,270
45,45,Agiel,1,5,10,"'agiel', 'death metal', 'melodic death metal', 'unique leader'",0.0,77
46,46,Agrupacion Ilegal Los Imparciales,1,30,30,"'chicha', 'cumbia', 'dance', 'latin', 'psicodelica', 'reggae', 'synth', 'tropical', 'world'",0.0,187
47,47,Aileron,1,79,158,"""80's"", '80s', 'electronic', 'nu disco', 'chillwave', 'neo-disco', 'outrun', 'retrowave', 'slowmo techno', 'synthwave'",0.0,437
48,48,Airi,1,113,113,"'electronic', 'futuristic', 'minimal', 'organic', 'psytrance', 'techno'",0.0,110
49,49,Airospace,9,454,922,"'hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'washington d.c.''hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'washington d.c.''hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'washington d.c.''hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'washington d.c.''hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'washington d.c.''hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'virginia', 'washington d.c.', 'music''airospace', 'aymie montreal mixtape', 'hip hop', 'hip-hop/rap', 'maryland', 'rap', 'spairoace', 'underground', 'washington d.c.''hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'washington d.c.', 'airospace', 'distance of separation', 'mixtape', 'music', 'spairoace''hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'washington d.c.''hip hop', 'hip-hop/rap', 'maryland', 'rap', 'underground', 'washington d.c.', 'the devil and his mistresses ep'",55.0,1012
50,50,Al Dobson Jr,1,397,397,"'al dobson jr', 'j dilla', 'peckham', 'rhythm section', 'jazz', 'kanyewest', 'triphop'",0.0,558
51,51,Alaric,1,23,23,"'black metal', 'metal', 'alaric', 'crust', 'deathrock', 'doom metal', 'gothic rock', 'nosie', 'post-punk', 'sludge metal'",5.0,123
